#,Mobility Scooters,Price,Rating,Link,Top Review
21,E-Wheels EW-18 400W Adult Sit/Stand Electric Mobilit  ...,$759.00,4.6/5.0,https://www.walmart.com/ip/E-Wheels-EW-18-400W-Adult-Sit-Stand-Electric-Mobility-Scooter-Red/45047239,blank
22,4 Wheel Heavy Duty 500lbs. Wt. Capacity Scooter with  ...,"$2,999.00",4.3/5.0,https://www.walmart.com/ip/4-Wheel-Heavy-Duty-500lbs-Wt-Capacity-Scooter-with-Electromagnetic-Brakes-Red-EWHEELS/45010939,blank
23,4 Wheels Full covered scooter -500lb. Wt. Capacity S  ...,"$3,749.00",4.8/5.0,https://www.walmart.com/ip/4-Wheels-Full-covered-scooter-500lb-Wt-Capacity-Scooter-with-Electromagnetic-Brake-Red-EWHEELS/46916998,blank
24,Premium Steerable Leg Scooter for Broken Leg/ Foot a  ...,$109.99,4.6/5.0,https://www.walmart.com/ip/Premium-Steerable-Leg-Scooter-for-Broken-Leg-Foot-and-Kneeling-Crutch-Replacement-Knee-Walker-Made-of-Superior-Steel/304430585,blank
25,Drive Medical Bobcat X4 Including VidaCura's extende  ...,$719.00,4.4/5.0,https://www.walmart.com/ip/Drive-Medical-Bobcat-X4-Including-VidaCura-s-extended-5-Year-warranty/237409152,blank
26,eWheels Sporty Electric 3 Wheeled Mobility Scooter -  ...,"$1,099.00",0.0/5.0,https://www.walmart.com/ip/eWheels-Sporty-Electric-3-Wheeled-Mobility-Scooter-15-MPH-EW-19/336586634,blank
27,Luggie Classic Foldable Power Mobility Scooter - Red,"$1,399.00",3.0/5.0,https://www.walmart.com/ip/Luggie-Classic-Foldable-Power-Mobility-Scooter-Red/47425479,blank
28,Drive Medical Scout 4 Mobility Scooter (20AH/15 mile  ...,$809.00,4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Scout-4-Mobility-Scooter-20AH-15-mile-range-battery-Including-Vidacura-s-Extended-5-Year-Warranty/374073151,blank
29,"Shoprider Echo 3 Wheel Scooter, Blue, 70 Pound",$599.00,4.3/5.0,https://www.walmart.com/ip/Shoprider-Echo-3-Wheel-Scooter-Blue-70-Pound/30257726,blank
30,Best Choice Products Mobility Carrier Wheelchair Ele  ...,$149.99,5.0/5.0,https://www.walmart.com/ip/Best-Choice-Products-Mobility-Carrier-Wheelchair-Electric-Scooter-Rack-Hitch-Disability-Medical-Ramp/38023636,blank
31,Zipr Mobility Zipr Roo 3 - Red Basic Scooter Good En  ...,$629.00,4.5/5.0,https://www.walmart.com/ip/Zipr-Mobility-Zipr-Roo-3-Red-Basic-Scooter-Good-Entry-Level-3-Wheels/187651743,blank
32,"Drive Medical Phoenix Heavy Duty Power Scooter, 3 Wh  ...","$1,149.00 - $1,249.00",4.6/5.0,https://www.walmart.com/ip/Drive-Medical-Phoenix-Heavy-Duty-Power-Scooter-3-Wheel/33651316,blank
33,Pride Mobility Go-Go Ultra X 4-Wheel Travel Mobility  ...,$929.00,0.0/5.0,https://www.walmart.com/ip/Pride-Mobility-Go-Go-Ultra-X-4-Wheel-Travel-Mobility-Scooter-12ah-Removable-Battery-Pack/148403242,blank
34,Pride Mobility - Go-Go Elite Traveller - Lightweight  ...,"$1,075.00",4.0/5.0,https://www.walmart.com/ip/Pride-Mobility-Go-Go-Elite-Traveller-Lightweight-Travel-Scooter-3-Wheel-Red/115738077,blank
35,Drive Medical Power Chair or Scooter Captain Seat Co  ...,$54.38,4.1/5.0,https://www.walmart.com/ip/Drive-Medical-Power-Chair-or-Scooter-Captain-Seat-Cover-18/38450505,blank
36,Drive Medical Maverick Executive Three Wheel Power S  ...,"$4,059.98",3.5/5.0,https://www.walmart.com/ip/Drive-Medical-Maverick-Executive-Three-Wheel-Power-Scooter/43224560,blank
37,Pride Mobility - Go-Go ES2 - Lightweight Travel Scoo  ...,$749.00,4.1/5.0,https://www.walmart.com/ip/Pride-Mobility-Go-Go-ES2-Lightweight-Travel-Scooter-3-Wheel-Black-PHILLIPS-POWER-PACKAGE-TM/108204445,blank
38,Zip'r Roo 4-Wheel Travel Mobility Scooter,$744.00,4.6/5.0,https://www.walmart.com/ip/Zip-r-Roo-4-Wheel-Travel-Mobility-Scooter/116601460,blank
39,Shoprider - Escape - Portable Travel Scooter - 4-Whe  ...,$879.00,4.0/5.0,https://www.walmart.com/ip/Shoprider-Escape-Portable-Travel-Scooter-4-Wheel-Blue/110175885,blank
40,E-Wheels EW-72 4-Wheel 700W High Power Electric Mobi  ...,"$2,999.00",4.6/5.0,https://www.walmart.com/ip/E-Wheels-EW-72-4-Wheel-700W-High-Power-Electric-Mobility-Scooter-Blue/45010940,blank
